id,title,authors,venue,year
1340,What Is the Nearest Neighbor in High Dimensional Spaces?,"A Hinneburg, C Aggarwal, D Keim",VLDB,2000
1341,Efficient View Maintenance at Data Warehouses,"D Agrawal, A Abbadi, A Singh, T Yurek",SIGMOD Conference,1997
1342,The A-tree: An Index Structure for High-Dimensional Spaces Using Relative Approximation,"Y Sakurai, M Yoshikawa, S Uemura, H Kojima",VLDB,2000
1343,Eliminating Costly Redundant Computations from SQL Trigger Executions,"F Llirbat, F Fabret, E Simon",SIGMOD Conference,1997
1344,The BT-tree: A Branched and Temporal Access Method,"L Jiang, B Salzberg, D Lomet, M García",VLDB,2000
1345,ZOO: A Desktop Emperiment Management Environment,"Y Ioannidis, M Livny, A Ailamaki, A Narayanan, A Therber",SIGMOD Conference,1997
1346,Temporal Integrity Constraints with Indeterminacy,"W Cowley, D Plexousakis",VLDB,2000
1347,The MENTOR Workbench for Enterprise-wide Workflow Management,"D Wodtke, J Weißenfels, G Weikum, A Dittrich, P Muth",SIGMOD Conference,1997
1348,Optimizing Multi-Feature Queries for Image Databases,"U Güntzer, W Balke, W Kießling",VLDB,2000
1349,SENTINEL: An Object-Oriented DBMS With Event-Based Rules,S Chakravarthy,SIGMOD Conference,1997
1350,Managing Intervals Efficiently in Object-Relational Databases,"H Kriegel, M Pötke, T Seidl",VLDB,2000
1351,PREDATOR: An OR-DBMS with Enhanced Data Types,"P Seshadri, M Paskin",SIGMOD Conference,1997
1352,Data Access for the Masses through OLE DB,J Blakeley,SIGMOD Conference,1996
1353,Novel Approaches in Query Processing for Moving Object Trajectories,"D Pfoser, C Jensen, Y Theodoridis",VLDB,2000
1354,Fault-tolerant Architectures for Continuous Media Servers,"B Özden, R Rastogi, P Shenoy, A Silberschatz",SIGMOD Conference,1996
1355,Identifying Representative Trends in Massive Time Series Data Sets Using Sketches,"P Indyk, N Koudas, S Muthukrishnan",VLDB,2000
1356,A Content-Based Multimedia Server for Massively Parallel Architectures,"W O'Connell, I Ieong, D Schrader, C Watson, G Au, A Biliris, S Choo, P Colin, G Linderman, E Panagos, J Wang, T Walters",SIGMOD Conference,1996
1357,"Set Containment Joins: The Good, The Bad and The Ugly","K Ramasamy, J Patel, J Naughton, R Kaushik",VLDB,2000
1358,Fundamental Techniques for Order Optimization,"D Simmen, E Shekita, T Malkemus",SIGMOD Conference,1996
1359,What Happens During a Join? Dissecting CPU and Memory Optimization Effects,"S Manegold, P Boncz, M Kersten",VLDB,2000
1360,The Distributed Information Search Component (Disco) and the World Wide Web,"A Tomasic, R Amouroux, P Bonnet, O Kapitskaia, H Naacke, L Raschid",SIGMOD Conference,1997
1361,Optimizing Queries on Compressed Bitmaps,"S Amer-Yahia, T Johnson",VLDB,2000
1362,Toward Learning Based Web Query Processing,"Y Diao, H Lu, S Chen, Z Tian",VLDB,2000
1363,The InfoSleuth Project,"R Jr., W Bohrer, R Brice, A Cichocki, J Fowler, A Helal, V Kashyap, T Ksiezyk, G Martin, M Nodine, M Rashid, M Rusinkiewicz, R Shea, C Unnikrishnan, A Unruh, D Woelk",SIGMOD Conference,1997
1364,User-Adaptive Exploration of Multidimensional Data,S Sarawagi,VLDB,2000
1365,Infomaster: An Information Integration System,"M Genesereth, A Keller, O Duschka",SIGMOD Conference,1997
1366,Oracle8i Index-Organized Table and Its Application to New Domains,"J Srinivasan, S Das, C Freiwald, E Chong, M Jagannath, A Yalamanchi, R Krishnan, A Tran, S DeFazio, J Banerjee",VLDB,2000
1367,Languages for Multi-database Interoperability,"F Gingras, L Lakshmanan, I Subramanian, D Papoulis, N Shiri",SIGMOD Conference,1997
1368,S3: Similarity Search in CAD Database Systems,"S Berchtold, H Kriegel",SIGMOD Conference,1997
1369,Multi-Dimensional Database Allocation for Parallel Data Warehouses,"T Stöhr, H Märtens, E Rahm",VLDB,2000
1370,Structural Matching and Discovery in Document Databases,"J Wang, D Shasha, G Chang, L Relihan, K Zhang, G Patel",SIGMOD Conference,1997
1371,Integrating the UB-Tree into a Database System Kernel,"F Ramsak, V Markl, R Fenk, M Zirkel, K Elhardt, R Bayer",VLDB,2000
1372,Practical Applications of Triggers and Constraints: Success and Lingering Issues (10-Year Award),"S Ceri, R Cochrane, J Widom",VLDB,2000
1373,The WHIPS Prototype for Data Warehouse Creation and Maintenance,"W Labio, Y Zhuge, J Wiener, H Gupta, H Garcia-Molina, J Widom",SIGMOD Conference,1997
1374,Temporal Queries in OLAP,"A Mendelzon, A Vaisman",VLDB,2000
1375,STRUDEL: A Web-site Management System,"M Fernandez, D Florescu, J Kang, A Levy, D Suciu",SIGMOD Conference,1997
1376,The Evolution of the Web and Implications for an Incremental Crawler,"J Cho, H Garcia-Molina",VLDB,2000
1377,Query Optimization at the Crossroads (Panel),S Chaudhuri,SIGMOD Conference,1997
1378,Hypothetical Queries in an OLAP Environment,"A Balmin, T Papadimitriou, Y Papakonstantinou",VLDB,2000
1379,Picture Programming Project,"N Goyal, C Hoch, R Krishnamurthy, B Meckler, M Suckow, M Zloof",SIGMOD Conference,1997
1380,"Object-Relational Database Systems: Principles, Products, and Challenges (Tutorial)",,,1997
1381,Using SQL to Build New Aggregates and Extenders for Object- Relational Systems,"H Wang, C Zaniolo",VLDB,2000
1382,Data Warehousing and OLAP for Decision Support (Tutorial),,,1997
1383,ICICLES: Self-Tuning Samples for Approximate Query Answering,"V Ganti, M Lee, R Ramakrishnan",VLDB,2000
1384,Offering a Precision-Performance Tradeoff for Aggregation Queries over Replicated Data,"C Olston, J Widom",VLDB,2000
1385,MDM: a Multiple-Data-Model Tool for the Management of Heterogeneous Database Schemes,"P Atzeni, R Torlone",SIGMOD Conference,1997
1386,Template-Based Wrappers in the TSIMMIS System,"J Hammer, H Garcia-Molina, S Nestorov, R Yerneni, M Breunig, V Vassalos",SIGMOD Conference,1997
1387,Manipulating Interpolated Data is Easier than You Thought,"S Grumbach, P Rigaux, L Segoufin",VLDB,2000
1388,Schema Mapping as Query Discovery,"R Miller, L Haas, M Hernández",VLDB,2000
1389,SEMCOG: An Object-based Image Retrieval System and Its Visual Query Interface,"W Li, K Candan, K Hirata, Y Hara",SIGMOD Conference,1997
1390,The COntext INterchange Mediator Prototype,"S Bressan, C Goh, K Fynn, M Jakobisiak, K Hussein, H Kon, T Lee, S Madnick, T Pena, J Qu, A Shum, M Siegel",SIGMOD Conference,1997
1391,Local Dimensionality Reduction: A New Approach to Indexing High Dimensional Spaces,"K Chakrabarti, S Mehrotra",VLDB,2000
1392,On-Line Warehouse View Maintenance,"D Quass, J Widom",SIGMOD Conference,1997
1393,The 3W Model and Algebra for Unified Data Mining,"T Johnson, L Lakshmanan, R Ng",VLDB,2000
1394,Mining Frequent Itemsets Using Support Constraints,"K Wang, Y He, J Han",VLDB,2000
1395,Supporting Multiple View Maintenance Policies,"L Colby, A Kawaguchi, D Lieuwen, I Mumick, K Ross",SIGMOD Conference,1997
1396,Rethinking Database System Architecture: Towards a Self-Tuning RISC-Style Database System,"S Chaudhuri, G Weikum",VLDB,2000
1397,The SR-tree: An Index Structure for High-Dimensional Nearest Neighbor Queries,"N Katayama, S Satoh",SIGMOD Conference,1997
1398,Wave-Indices: Indexing Evolving Databases,"N Shivakumar, H Garcia-Molina",SIGMOD Conference,1997
1399,PicoDMBS: Scaling Down Database Techniques for the Smartcard,"C Bobineau, L Bouganim, P Pucheral, P Valduriez",VLDB,2000
1400,Concurrency in the Data Warehouse,R Taylor,VLDB,2000
1401,Revisiting Commit Processing in Distributed Database Systems,"R Gupta, J Haritsa, K Ramamritham",SIGMOD Conference,1997
1402,"Ordering Information, Conference Organizers, Program Committees, Additional Reviewers, Additional Demonstrations Reviewers, Sponsors, VLDB Endowment, Preface, Foreword",,,2000
1403,"Lessons from Wall Street: Case Studies in Configuration, Tuning, and Distribution (Tutorial)",,,1997
1404,Temporal Aggregation in Active Database Rules,"I Motakis, C Zaniolo",SIGMOD Conference,1997
1405,Controlling Data Warehouses with Knowledge Networks,"E Schaefer, J Becker, A Boehmer, M Jarke",VLDB,2000
1406,E.piphany Epicenter Technology Overview,S Ramaswamy,VLDB,2000
1407,Secure Transaction Processing in Firm Real-Time Database Systems,"B George, J Haritsa",SIGMOD Conference,1997
1408,On Efficiently Implementing SchemaSQL on an SQL Database System,"L Lakshmanan, F Sadri, S Subramanian",VLDB,1999
1409,The Dangers of Replication and a Solution,"J Gray, P Helland, P O'Neil, D Shasha",SIGMOD Conference,1996
1410,Performance Tradeoffs for Client-Server Query Processing,"M Franklin, B Jónsson, D Kossmann",SIGMOD Conference,1996
1411,"Physical Data Independence, Constraints, and Optimization with Universal Plans","A Deutsch, L Popa, V Tannen",VLDB,1999
1412,User-Defined Table Operators: Enhancing Extensibility for ORDBMS,"M Jaedicke, B Mitschang",VLDB,1999
1413,Random I/O Scheduling in Online Tertiary Storage Systems,"B Hillyer, A Silberschatz",SIGMOD Conference,1996
1414,Hot Mirroring: A Study to Hide Parity Upgrade Penalty and Degradations During Rebuilds for RAID5,"K Mogi, M Kitsuregawa",SIGMOD Conference,1996
1415,Unrolling Cycles to Decide Trigger Termination,"S Lee, T Ling",VLDB,1999
1416,On-line Reorganization of Sparsely-populated B+trees,"C Zou, B Salzberg",SIGMOD Conference,1996
1417,Similarity Search in High Dimensions via Hashing,"A Gionis, P Indyk, R Motwani",VLDB,1999
1418,Optimal Grid-Clustering: Towards Breaking the Curse of Dimensionality in High-Dimensional Clustering,"A Hinneburg, D Keim",VLDB,1999
1419,BIRCH: An Efficient Data Clustering Method for Very Large Databases,"T Zhang, R Ramakrishnan, M Livny",SIGMOD Conference,1996
1420,"O-O, What Have They Done to DB2?","M Carey, D Chamberlin, S Narayanan, B Vance, D Doole, S Rielau, R Swagerman, N Mattos",VLDB,1999
1421,Query Caching and Optimization in Distributed Mediator Systems,"S Adali, K Candan, Y Papakonstantinou, V Subrahmanian",SIGMOD Conference,1996
1422,Two Techniques for On-Line Index Modification in Shared Nothing Parallel Databases,"K Achyutuni, E Omiecinski, S Navathe",SIGMOD Conference,1996
1423,What can Hierarchies do for Data Warehouses?,"H Jagadish, L Lakshmanan, D Srivastava",VLDB,1999
1424,Relational Databases for Querying XML Documents: Limitations and Opportunities,"J Shanmugasundaram, K Tufte, C Zhang, G He, D DeWitt, J Naughton",VLDB,1999
1425,Rapid Bushy Join-order Optimization with Cartesian Products,"B Vance, D Maier",SIGMOD Conference,1996
1426,Performance Measurements of Compressed Bitmap Indices,T Johnson,VLDB,1999
1427,IDEA: Interactive Data Exploration and Analysis,"P Selfridge, D Srivastava, L Wilson",SIGMOD Conference,1996
1428,Optimizing Queries over Multimedia Repositories,"S Chaudhuri, L Gravano",SIGMOD Conference,1996
1429,Loading a Cache with Query Results,"L Haas, D Kossmann, I Ursu",VLDB,1999
1430,Query Optimization for XML,"J McHugh, J Widom",VLDB,1999
1431,SQL Query Optimization: Reordering for a General Class of Queries,"P Goel, B Iyer",SIGMOD Conference,1996
1432,Probabilistic Optimization of Top N Queries,"D Donjerkovic, R Ramakrishnan",VLDB,1999
1433,BeSS: Storage Support for Interactive Visualization Systems,"A Biliris, T Funkhouser, W O'Connell, E Panagos",SIGMOD Conference,1996
1434,Multi-Dimensional Substring Selectivity Estimation,"H Jagadish, O Kapitskaia, R Ng, D Srivastava",VLDB,1999
1435,CapBasED-AMS: A Capability-based and Event-driven Activity Management System,"P Hung, H Yeung, K Karlapalem",SIGMOD Conference,1996
1436,Quality-driven Integration of Heterogenous Information Systems,"F Naumann, U Leser, J Freytag",VLDB,1999
1437,"Data Mining Using Two-Dimensional Optimized Accociation Rules: Scheme, Algorithms, and Visualization","T Fukuda, Y Morimoto, S Morishita, T Tokuyama",SIGMOD Conference,1996
1438,Mining Quantitative Association Rules in Large Relational Tables,"R Srikant, R Agrawal",SIGMOD Conference,1996
1439,Integrating Heterogenous Overlapping Databases through Object-Oriented Transformations,"V Josifovski, T Risch",VLDB,1999
1440,Issues in Network Management in the Next Millennium,"M Brodie, S Chaudhuri",VLDB,1999
1441,Databases and Visualization,D Keim,SIGMOD Conference,1996
1442,Networked Data Management Design Points,J Hamilton,VLDB,1999
1443,Data Mining Techniques,J Han,SIGMOD Conference,1996
1444,DBSim: A Simulation Tool for Predicting Database Performance,"M Lefler, M Stokrp, C Wong",SIGMOD Conference,1996
1445,In Cyber Space No One can Hear You Scream,C Pound,VLDB,1999
1446,DBMiner: Interactive Mining of Multiple-Level Knowledge in Relational Databases,"J Han, Y Fu, W Wang, J Chiang, O Zaïane, K Koperski",SIGMOD Conference,1996
1447,SPIRIT: Sequential Pattern Mining with Regular Expression Constraints,"M Garofalakis, R Rastogi, K Shim",VLDB,1999
1448,A Framework for Supporting Data Integration Using the Materialized and Virtual Approaches,"R Hull, G Zhou",SIGMOD Conference,1996
1449,Microsoft English Query 7.5: Automatic Extraction of Semantics from Relational Databases and OLAP Cubes,A Blum,VLDB,1999
1450,Change Detection in Hierarchically Structured Information,"S Chawathe, A Rajaraman, H Garcia-Molina, J Widom",SIGMOD Conference,1996
1451,"The New Locking, Logging, and Recovery Architecture of Microsoft SQL Server 7.0",D Campbell,VLDB,1999
1452,The Value of Merge-Join and Hash-Join in SQL Server,G Graefe,VLDB,1999
1453,A Query Language and Optimization Techniques for Unstructured Data,"P Buneman, S Davidson, G Hillebrand, D Suciu",SIGMOD Conference,1996
1454,VOODB: A Generic Discrete-Event Random Simulation Model To Evaluate the Performances of OODBs,"J Darmont, M Schneider",VLDB,1999
1455,Accessing Relational Databases from the World Wide Web,"T Nguyen, V Srinivasan",SIGMOD Conference,1996
1456,Goal-Oriented Buffer Management Revisited,"K Brown, M Carey, M Livny",SIGMOD Conference,1996
1457,Building Light-Weight Wrappers for Legacy Web Data-Sources Using W4F,"A Sahuguet, F Azavant",VLDB,1999
1458,Aqua: A Fast Decision Support Systems Using Approximate Query Answers,"S Acharya, P Gibbons, V Poosala",VLDB,1999
1459,Evaluating Queries with Generalized Path Expressions,"V Christophides, S Cluet, G Moerkotte",SIGMOD Conference,1996
1460,Repeating History Beyond ARIES,C Mohan,VLDB,1999
1461,Cost-Based Optimization for Magic: Algebra and Implementation,"P Seshadri, J Hellerstein, H Pirahesh, T Leung, R Ramakrishnan, D Srivastava, P Stuckey, S Sudarshan",SIGMOD Conference,1996
1462,Online Feedback for Nested Aggregate Queries with Multi-Threading,"K Tan, C Goh, B Ooi",VLDB,1999
1463,Algorithms for Deferred View Maintenance,"L Colby, T Griffin, L Libkin, I Mumick, H Trickey",SIGMOD Conference,1996
1464,The Persistent Cache: Improving OID Indexing in Temporal Object-Oriented Database Systems,K Nørvåg,VLDB,1999
1465,"A Query Language for Multidimensional Arrays: Design, Implementation, and Optimization Techniques","L Libkin, R Machlin, L Wong",SIGMOD Conference,1996
1466,Mining Deviants in a Time Series Database,"H Jagadish, N Koudas, S Muthukrishnan",VLDB,1999
1467,A Super Scalar Sort Algorithm for RISC Processors,R Agarwal,SIGMOD Conference,1996
1468,Histogram-Based Approximation of Set-Valued Query-Answers,"Y Ioannidis, V Poosala",VLDB,1999
1469,Bifocal Sampling for Skew-Resistant Join Size Estimation,"S Ganguly, P Gibbons, Y Matias, A Silberschatz",SIGMOD Conference,1996
1470,Semantic Compression and Pattern Extraction with Fascicles,"H Jagadish, J Madar, R Ng",VLDB,1999
1471,Estimating Alphanumeric Selectivity in the Presence of Wildcards,"P Krishnan, J Vitter, B Iyer",SIGMOD Conference,1996
1472,Adaptive Parallel Aggregation Algorithms,"A Shatdal, J Naughton",SIGMOD Conference,1995
1473,Extending Practical Pre-Aggregation in On-Line Analytical Processing,"T Pedersen, C Jensen, C Dyreson",VLDB,1999
1474,Aggregation Algorithms for Very Large Compressed Data Warehouses,"J Li, D Rotem, J Srivastava",VLDB,1999
1475,A General Solution of the n-dimensional B-tree Problem,M Freeston,SIGMOD Conference,1995
1476,Extracting Large-Scale Knowledge Bases from the Web,"R Kumar, P Raghavan, S Rajagopalan, A Tomkins",VLDB,1999
1477,Efficient Optimistic Concurrency Control Using Loosely Synchronized Clocks,"A Adya, R Gruber, B Liskov, U Maheshwari",SIGMOD Conference,1995
1478,"Data-Driven, One-To-One Web Site Generation for Data-Intensive Applications","S Ceri, P Fraternali, S Paraboschi",VLDB,1999
1479,A Critique of ANSI SQL Isolation Levels,"H Berenson, P Bernstein, J Gray, J Melton, E O'Neil, P O'Neil",SIGMOD Conference,1995
1480,The Garlic Project,"M Roth, M Arya, L Haas, M Carey, W Cody, R Fagin, P Schwarz, J II, E Wimmers",SIGMOD Conference,1996
1481,Curio: A Novel Solution for Efficient Storage and Indexing in Data Warehouses,"A Datta, K Ramamritham, H Thomas",VLDB,1999
1482,Datawarehousing Has More Colours Than Just Black & White,"T Zurek, M Sinnwell",VLDB,1999
1483,The MultiView Project: Object-Oriented View Technology and Applications,"E Rundensteiner, H Kuno, Y Ra, V Crestana-Taube, M Jones, P Marrón",SIGMOD Conference,1996
1484,SONAR: System for Optimized Numeric AssociationRules,"T Fukuda, Y Morimoto, S Morishita, T Tokuyama",SIGMOD Conference,1996
1485,High-Performance Extensible Indexing,M Kornacker,VLDB,1999
1486,METU Interoperable Database System,"A Dogac, U Halici, E Kilic, G Özhan, F Ozcan, S Nural, C Dengi, S Mancuhan, I Arpinar, P Koksal, C Evrendilek",SIGMOD Conference,1996
1487,Hierarchical Prefix Cubes for Range-Sum Queries,"C Chan, Y Ioannidis",VLDB,1999
1488,Prospector: A Content-Based Multimedia Server for Massively Parallel Architectures,"S Choo, W O'Connell, G Linderman, H Chen, K Ganapathi, A Biliris, E Panagos, D Schrader",SIGMOD Conference,1996
1489,Combining Histograms and Parametric Curve Fitting for Feedback-Driven Query Result-size Estimation,"A König, G Weikum",VLDB,1999
1490,LORE: A Lightweight Object REpository for Semistructured Data,"D Quass, J Widom, R Goldman, K Haas, Q Luo, J McHugh, S Nestorov, A Rajaraman, H Rivero, S Abiteboul, J Ullman, J Wiener",SIGMOD Conference,1996
1491,Evaluating Top-k Selection Queries,"S Chaudhuri, L Gravano",VLDB,1999
1492,HyperStorM - Administering Structured Documents Using Object-Oriented Database Technology,"K Böhm, K Aberer",SIGMOD Conference,1996
1493,Distributed Hypertext Resource Discovery Through Examples,"S Chakrabarti, M Berg, B Dom",VLDB,1999
1494,Thinksheet: A Tool for Tailoring Complex Documents,"P Piatko, R Yangarber, D Lin, D Shasha",SIGMOD Conference,1996
1495,Building Hierarchical Classifiers Using Class Proximity,"K Wang, S Zhou, S Liew",VLDB,1999
1496,"Active Storage Hierarchy, Database Systems and Applications - Socratic Exegesis","F Cariño, W O'Connell, J Burgess, J Saltz",VLDB,1999
1497,State of the Art in Workflow Management Research and Products,,,1996
1498,Repository System Engineering,,,1996
1499,Cost Models DO Matter: Providing Cost Information for Diverse Data Sources in a Federated System,"M Roth, F Ozcan, L Haas",VLDB,1999
1500,Generating Call-Level Interfaces for Advanced Database Application Programming,"U Nink, T Härder, N Ritter",VLDB,1999
1501,The Ins and Outs (and Everthing in Between) of Data Warehousing,,,1996
1502,High Level Indexing of User-Defined Types,"W Chen, J Chow, Y Fuh, J Grandbois, M Jou, N Mattos, B Tran, Y Wang",VLDB,1999
1503,Is GUI Programming a Database Research Problem?,"N Goyal, C Hoch, R Krishnamurthy, B Meckler, M Suckow",SIGMOD Conference,1996
1504,Materialized View Maintenance and Integrity Constraint Checking: Trading Space for Time,"K Ross, D Srivastava, S Sudarshan",SIGMOD Conference,1996
1505,Finding Intensional Knowledge of Distance-Based Outliers,"E Knorr, R Ng",VLDB,1999
1506,A Novel Index Supporting High Volume Data Warehouse Insertion,"C Jermaine, A Datta, E Omiecinski",VLDB,1999
1507,Maintaining Database Consistency in Presence of Value Dependencies in Multidatabase Systems,"C Morpain, M Cart, J Ferrié, J Pons",SIGMOD Conference,1996
1508,Rule Languages and Internal Algebras for Rule-Based Optimizers,"M Cherniack, S Zdonik",SIGMOD Conference,1996
1509,Dynamic Load Balancing for Parallel Association Rule Mining on Heterogenous PC Cluster Systems,"M Tamura, M Kitsuregawa",VLDB,1999
1510,A Scalable and Highly Available Networked Database Architecture,"R Bamford, R Ahad, A Pruscino",VLDB,1999
1511,Query Execution Techniques for Caching Expensive Methods,"J Hellerstein, J Naughton",SIGMOD Conference,1996
1512,"Semi-automatic, Self-adaptive Control of Garbage Collection Rates in Object Databases","J Cook, A Klauser, A Wolf, B Zorn",SIGMOD Conference,1996
1513,Context-Based Prefetch for Implementing Objects on Relations,"P Bernstein, S Pal, D Shutt",VLDB,1999
1514,Towards Effective and Efficient Free Space Management,"M McAuliffe, M Carey, M Solomon",SIGMOD Conference,1996
1515,GHOST: Fine Granularity Buffering of Indexes,"C Goh, B Ooi, D Sim, K Tan",VLDB,1999
1516,DBMSs on a Modern Processor: Where Does Time Go?,"A Ailamaki, D DeWitt, M Hill, D Wood",VLDB,1999
1517,Static Detection of Security Flaws in Object-Oriented Databases,K Tajima,SIGMOD Conference,1996
1518,Capturing and Querying Multiple Aspects of Semistructured Data,"C Dyreson, M Böhlen, C Jensen",VLDB,1999
1519,Multi-dimensional Resource Scheduling for Parallel Queries,"M Garofalakis, Y Ioannidis",SIGMOD Conference,1996
1520,Safe and Efficient Sharing of Persistent Objects in Thor,"B Liskov, A Adya, M Castro, M Day, S Ghemawat, R Gruber, U Maheshwari, A Myers, L Shrira",SIGMOD Conference,1996
1521,Cache Conscious Indexing for Decision-Support in Main Memory,"J Rao, K Ross",VLDB,1999
1522,Comparing Hierarchical Data in External Memory,S Chawathe,VLDB,1999
1523,An Open Storage System for Abstract Objects,"S Blott, L Relly, H Schek",SIGMOD Conference,1996
1524,Improved Histograms for Selectivity Estimation of Range Predicates,"V Poosala, Y Ioannidis, P Haas, E Shekita",SIGMOD Conference,1996
1525,Explaining Differences in Multidimensional Aggregates,S Sarawagi,VLDB,1999
1526,Database Architecture Optimized for the New Bottleneck: Memory Access,"P Boncz, S Manegold, M Kersten",VLDB,1999
1527,Structures for Manipulating Proposed Updates in Object-Oriented Databases,"M Doherty, R Hull, M Rupawalla",SIGMOD Conference,1996
1528,Spatial Hash-Joins,"M Lo, C Ravishankar",SIGMOD Conference,1996
1529,Active Views for Electronic Commerce,"S Abiteboul, B Amann, S Cluet, A Eyal, L Mignet, T Milo",VLDB,1999
1530,Partition Based Spatial-Merge Join,"J Patel, D DeWitt",SIGMOD Conference,1996
1531,An Adaptive Hybrid Server Architecture for Client Caching ODBMSs,"K Voruganti, M Özsu, R Unrau",VLDB,1999
1532,Implementing Data Cubes Efficiently,"V Harinarayan, A Rajaraman, J Ullman",SIGMOD Conference,1996
1533,Exploiting Versions for Handling Updates in Broadcast Disks,"E Pitoura, P Chrysanthis",VLDB,1999
1534,Fast Algorithms for Maintaining Replica Consistency in Lazy Master Replicated Databases,"E Pacitti, P Minet, E Simon",VLDB,1999
1535,Providing Better Support for a Class of Decision Support Queries,"S Rao, A Badia, D Gucht",SIGMOD Conference,1996
1536,DataBlitz: A High Performance Main-Memory Storage Manager,"J Baulier, P Bohannon, S Gogate, S Joshi, C Gupta, A Khivesera, H Korth, P McIlroy, J Miller, P Narayan, M Nemeth, R Rastogi, A Silberschatz, S Sudarshan",VLDB,1998
1537,Adapting Materialized Views after Redefinitions,"A Gupta, I Mumick, K Ross",SIGMOD Conference,1995
1538,Bridging Heterogeneity: Research and Practice of Database Middleware Technology,"F Rezende, G Sauter",VLDB,1998
1539,Broadcast Disks: Data Management for Asymmetric Communications Environments,"S Acharya, R Alonso, M Franklin, S Zdonik",SIGMOD Conference,1995
1540,Heterogeneous Database Query Optimization in DB2 Universal DataJoiner,"S Venkataraman, T Zhang",VLDB,1998
1541,An Effective Hash Based Algorithm for Mining Association Rules,"J Park, M Chen, P Yu",SIGMOD Conference,1995
1542,A Database System for Real-Time Event Aggregation in Telecommunication,"J Baulier, S Blott, H Korth, A Silberschatz",VLDB,1998
1543,"FastMap: A Fast Algorithm for Indexing, Data-Mining and Visualization of Traditional and Multimedia Datasets","C Faloutsos, K Lin",SIGMOD Conference,1995
1544,Dynamic Resource Brokering for Multi-User Query Execution,"D Davison, G Graefe",SIGMOD Conference,1995
1545,Architecture of Oracle Parallel Server,"R Bamford, D Butler, B Klots, N MacNaughton",VLDB,1998
1546,Checkpointing in Oracle,"A Joshi, W Bridge, J Loaiza, T Lahiri",VLDB,1998
1547,Applying Update Streams in a Soft Real-Time Database System,"B Adelberg, H Garcia-Molina, B Kao",SIGMOD Conference,1995
1548,Balancing Histogram Optimality and Practicality for Query Result Size Estimation,"Y Ioannidis, V Poosala",SIGMOD Conference,1995
1549,From Data Independence to Knowledge Independence: An on-going Story,L Vieille,VLDB,1998
1550,DTL's DataSpot: Database Exploration Using Plain Language,"S Dar, G Entin, S Geva, E Palmon",VLDB,1998
1551,Enhancing Database Correctness: a Statistical Approach,"W Hou, Z Zhang",SIGMOD Conference,1995
1552,Resource Scheduling for Composite Multimedia Objects,"M Garofalakis, Y Ioannidis, B Özden",VLDB,1998
1553,Copy Detection Mechanisms for Digital Documents,"S Brin, J Davis, H Garcia-Molina",SIGMOD Conference,1995
1554,Performance Measurements of Tertiary Storage Devices,"T Johnson, E Miller",VLDB,1998
1555,A Database Interface for File Updates,"S Abiteboul, S Cluet, T Milo",SIGMOD Conference,1995
1556,Incremental Maintenance for Materialized Views over Semistructured Data,"S Abiteboul, J McHugh, M Rys, V Vassalos, J Wiener",VLDB,1998
1557,Fault Tolerant Design of Multimedia Servers,"S Berson, L Golubchik, R Muntz",SIGMOD Conference,1995
1558,Proximity Search in Databases,"R Goldman, N Shivakumar, S Venkatasubramanian, H Garcia-Molina",VLDB,1998
1559,Efficient Maintenance of Materialized Mediated Views,"J Lu, G Moerkotte, J Schü, V Subrahmanian",SIGMOD Conference,1995
1560,Carnot and InfoSleuth: Database Technology and the World Wide Web,"D Woelk, W Bohrer, N Jacobs, K Ong, C Tomlinson, C Unnikrishnan",SIGMOD Conference,1995
1561,Technology and the Future of Commerce and Finance (Abstract),D Shaw,VLDB,1998
1562,Active Storage for Large-Scale Data Mining and Multimedia,"E Riedel, G Gibson, C Faloutsos",VLDB,1998
1563,High Availability of Commercial Applications,K Ivinskis,SIGMOD Conference,1995
1564,Enterprise Transaction Processing on Windows NT,G Hope,SIGMOD Conference,1995
1565,A Single Pass Computing Engine for Interactive Analysis of VLDBs,T Mihalisin,VLDB,1998
1566,DMS: A Parallel Data Mining Server,F George,VLDB,1998
1567,DIRECTV and Oracle Rdb: The Challenges of VLDB Transaction Processing,W Gettys,SIGMOD Conference,1995
1568,"Enterprise Objects Framework, A Second Generation Object-Relational Enabler",C Kleissner,SIGMOD Conference,1995
1569,Low-Cost Compensation-Based Query Processing,"Ø Grøvlen, S Hvasshovd, Ø Torbjørnsen",VLDB,1998
1570,An Overview of DB2 Parallel Edition,"C Baru, G Fecteau, A Goyal, H Hsiao, A Jhingran, S Padmanabhan, W Wilson",SIGMOD Conference,1995
1571,A Quantitative Analysis and Performance Study for Similarity-Search Methods in High-Dimensional Spaces,"R Weber, H Schek, S Blott",VLDB,1998
1572,Data Extraction and Transformation for the Data Warehouse,C Squire,SIGMOD Conference,1995
1573,Reducing the Braking Distance of an SQL Query Engine,"M Carey, D Kossmann",VLDB,1998
1574,Cover Your Assets,M Olson,SIGMOD Conference,1995
1575,Querying Continuous Time Sequences,"L Lin, T Risch",VLDB,1998
1576,Recovery Protocols for Shared Memory Database Systems,"L Molesky, K Ramamritham",SIGMOD Conference,1995
1577,nD-SQL: A Multi-Dimensional Language for Interoperability and OLAP,"F Gingras, L Lakshmanan",VLDB,1998
1578,The LyriC Language: Querying Constraint Objects,"A Brodsky, Y Kornatzky",SIGMOD Conference,1995
